"","estimate","se","lcl","ucl","fixed","note"
"p s1 gmale4 c204 c75 a33 o107 t237",78582,0,78582,78582,"     "," Fixed              "
"p s1 gmale4 c205 c76 a32 o107 t237",78757,0,78757,78757,"     "," Fixed              "
"p s1 gmale4 c206 c77 a31 o107 t237",78931,0,78931,78931,"     "," Fixed              "
"p s1 gmale4 c207 c78 a30 o107 t237",79104,0,79104,79104,"     "," Fixed              "
"p s1 gmale4 c208 c79 a29 o107 t237",79276,0,79276,79276,"     "," Fixed              "
"p s1 gmale4 c209 c80 a28 o107 t237",79447,0,79447,79447,"     "," Fixed              "
"p s1 gmale4 c210 c81 a27 o107 t237",79617,0,79617,79617,"     "," Fixed              "
"p s1 gmale4 c211 c82 a26 o107 t237",79786,0,79786,79786,"     "," Fixed              "
"p s1 gmale4 c212 c83 a25 o107 t237",79954,0,79954,79954,"     "," Fixed              "
"p s1 gmale4 c213 c84 a24 o107 t237",80121,0,80121,80121,"     "," Fixed              "
"p s1 gmale4 c214 c85 a23 o107 t237",80287,0,80287,80287,"     "," Fixed              "
"p s1 gmale4 c215 c86 a22 o107 t237",80452,0,80452,80452,"     "," Fixed              "
"p s1 gmale4 c216 c87 a21 o107 t237",80616,0,80616,80616,"     "," Fixed              "
"p s1 gmale4 c217 c88 a20 o107 t237",80779,0,80779,80779,"     "," Fixed              "
"p s1 gmale4 c218 c89 a19 o107 t237",80941,0,80941,80941,"     "," Fixed              "
"p s1 gmale4 c219 c90 a18 o107 t237",81102,0,81102,81102,"     "," Fixed              "
"p s1 gmale4 c220 c91 a17 o107 t237",81262,0,81262,81262,"     "," Fixed              "
"p s1 gmale4 c221 c92 a16 o107 t237",81421,0,81421,81421,"     "," Fixed              "
"p s1 gmale4 c222 c93 a15 o107 t237",81579,0,81579,81579,"     "," Fixed              "
"p s1 gmale4 c223 c94 a14 o107 t237",81736,0,81736,81736,"     "," Fixed              "
"p s1 gmale4 c224 c95 a13 o107 t237",81892,0,81892,81892,"     "," Fixed              "
"p s1 gmale4 c225 c96 a12 o107 t237",82047,0,82047,82047,"     "," Fixed              "
"p s1 gmale4 c226 c97 a11 o107 t237",82201,0,82201,82201,"     "," Fixed              "
"p s1 gmale4 c227 c98 a10 o107 t237",82354,0,82354,82354,"     "," Fixed              "
"p s1 gmale4 c228 c99 a9 o107 t237",82506,0,82506,82506,"     "," Fixed              "
"p s1 gmale4 c229 c100 a8 o107 t237",82657,0,82657,82657,"     "," Fixed              "
"p s1 gmale4 c230 c101 a7 o107 t237",82807,0,82807,82807,"     "," Fixed              "
"p s1 gmale4 c231 c102 a6 o107 t237",82956,0,82956,82956,"     "," Fixed              "
"p s1 gmale4 c232 c103 a5 o107 t237",83104,0,83104,83104,"     "," Fixed              "
"p s1 gmale4 c233 c104 a4 o107 t237",83251,0,83251,83251,"     "," Fixed              "
"p s1 gmale4 c234 c105 a3 o107 t237",83397,0,83397,83397,"     "," Fixed              "
"p s1 gmale4 c235 c106 a2 o107 t237",83542,0,83542,83542,"     "," Fixed              "
"p s1 gmale4 c236 c107 a1 o107 t237",83686,0,83686,83686,"     "," Fixed              "
"p s2 gmale4 c130 c1 a107 o107 t237",94232,0,94232,94232,"     "," Fixed              "
"p s2 gmale4 c131 c2 a106 o107 t237",94481,0,94481,94481,"     "," Fixed              "
"p s2 gmale4 c132 c3 a105 o107 t237",94729,0,94729,94729,"     "," Fixed              "
"p s2 gmale4 c133 c4 a104 o107 t237",94976,0,94976,94976,"     "," Fixed              "
"p s2 gmale4 c134 c5 a103 o107 t237",95222,0,95222,95222,"     "," Fixed              "
"p s2 gmale4 c135 c6 a102 o107 t237",95467,0,95467,95467,"     "," Fixed              "
"p s2 gmale4 c136 c7 a101 o107 t237",95711,0,95711,95711,"     "," Fixed              "
"p s2 gmale4 c137 c8 a100 o107 t237",95954,0,95954,95954,"     "," Fixed              "
"p s2 gmale4 c138 c9 a99 o107 t237",96196,0,96196,96196,"     "," Fixed              "
"p s2 gmale4 c139 c10 a98 o107 t237",96437,0,96437,96437,"     "," Fixed              "
"p s2 gmale4 c140 c11 a97 o107 t237",96677,0,96677,96677,"     "," Fixed              "
"p s2 gmale4 c141 c12 a96 o107 t237",96916,0,96916,96916,"     "," Fixed              "
"p s2 gmale4 c142 c13 a95 o107 t237",97154,0,97154,97154,"     "," Fixed              "
"p s2 gmale4 c143 c14 a94 o107 t237",97391,0,97391,97391,"     "," Fixed              "
"p s2 gmale4 c144 c15 a93 o107 t237",97627,0,97627,97627,"     "," Fixed              "
"p s2 gmale4 c145 c16 a92 o107 t237",97862,0,97862,97862,"     "," Fixed              "
"p s2 gmale4 c146 c17 a91 o107 t237",98096,0,98096,98096,"     "," Fixed              "
"p s2 gmale4 c147 c18 a90 o107 t237",98329,0,98329,98329,"     "," Fixed              "
"p s2 gmale4 c148 c19 a89 o107 t237",98561,0,98561,98561,"     "," Fixed              "
"p s2 gmale4 c149 c20 a88 o107 t237",98792,0,98792,98792,"     "," Fixed              "
"p s2 gmale4 c150 c21 a87 o107 t237",99022,0,99022,99022,"     "," Fixed              "
"p s2 gmale4 c151 c22 a86 o107 t237",99251,0,99251,99251,"     "," Fixed              "
"p s2 gmale4 c152 c23 a85 o107 t237",99479,0,99479,99479,"     "," Fixed              "
"p s2 gmale4 c153 c24 a84 o107 t237",99706,0,99706,99706,"     "," Fixed              "
"p s2 gmale4 c154 c25 a83 o107 t237",99932,0,99932,99932,"     "," Fixed              "
"p s2 gmale4 c155 c26 a82 o107 t237",100157,0,100157,100157,"     "," Fixed              "
"p s2 gmale4 c156 c27 a81 o107 t237",100381,0,100381,100381,"     "," Fixed              "
"p s2 gmale4 c157 c28 a80 o107 t237",100604,0,100604,100604,"     "," Fixed              "
"p s2 gmale4 c158 c29 a79 o107 t237",100826,0,100826,100826,"     "," Fixed              "
"p s2 gmale4 c159 c30 a78 o107 t237",101047,0,101047,101047,"     "," Fixed              "
"p s2 gmale4 c160 c31 a77 o107 t237",101267,0,101267,101267,"     "," Fixed              "
"p s2 gmale4 c161 c32 a76 o107 t237",101486,0,101486,101486,"     "," Fixed              "
"p s2 gmale4 c162 c33 a75 o107 t237",101704,0,101704,101704,"     "," Fixed              "
"p s2 gmale4 c163 c34 a74 o107 t237",101921,0,101921,101921,"     "," Fixed              "
"p s2 gmale4 c164 c35 a73 o107 t237",102137,0,102137,102137,"     "," Fixed              "
"p s2 gmale4 c165 c36 a72 o107 t237",102352,0,102352,102352,"     "," Fixed              "
"p s2 gmale4 c166 c37 a71 o107 t237",102566,0,102566,102566,"     "," Fixed              "
"p s2 gmale4 c167 c38 a70 o107 t237",102779,0,102779,102779,"     "," Fixed              "
"p s2 gmale4 c168 c39 a69 o107 t237",102991,0,102991,102991,"     "," Fixed              "
"p s2 gmale4 c169 c40 a68 o107 t237",103202,0,103202,103202,"     "," Fixed              "
"p s2 gmale4 c170 c41 a67 o107 t237",103412,0,103412,103412,"     "," Fixed              "
"p s2 gmale4 c171 c42 a66 o107 t237",103621,0,103621,103621,"     "," Fixed              "
"p s2 gmale4 c172 c43 a65 o107 t237",103829,0,103829,103829,"     "," Fixed              "
"p s2 gmale4 c173 c44 a64 o107 t237",104036,0,104036,104036,"     "," Fixed              "
"p s2 gmale4 c174 c45 a63 o107 t237",104242,0,104242,104242,"     "," Fixed              "
"p s2 gmale4 c175 c46 a62 o107 t237",104447,0,104447,104447,"     "," Fixed              "
"p s2 gmale4 c176 c47 a61 o107 t237",104651,0,104651,104651,"     "," Fixed              "
"p s2 gmale4 c177 c48 a60 o107 t237",104854,0,104854,104854,"     "," Fixed              "
"p s2 gmale4 c178 c49 a59 o107 t237",105056,0,105056,105056,"     "," Fixed              "
"p s2 gmale4 c179 c50 a58 o107 t237",105257,0,105257,105257,"     "," Fixed              "
"p s2 gmale4 c180 c51 a57 o107 t237",105457,0,105457,105457,"     "," Fixed              "
"p s2 gmale4 c181 c52 a56 o107 t237",105656,0,105656,105656,"     "," Fixed              "
"p s2 gmale4 c182 c53 a55 o107 t237",105854,0,105854,105854,"     "," Fixed              "
"p s2 gmale4 c183 c54 a54 o107 t237",106051,0,106051,106051,"     "," Fixed              "
"p s2 gmale4 c184 c55 a53 o107 t237",106247,0,106247,106247,"     "," Fixed              "
"p s2 gmale4 c185 c56 a52 o107 t237",106442,0,106442,106442,"     "," Fixed              "
"p s2 gmale4 c186 c57 a51 o107 t237",106636,0,106636,106636,"     "," Fixed              "
"p s2 gmale4 c187 c58 a50 o107 t237",106829,0,106829,106829,"     "," Fixed              "
"p s2 gmale4 c188 c59 a49 o107 t237",107021,0,107021,107021,"     "," Fixed              "
"p s2 gmale4 c189 c60 a48 o107 t237",107212,0,107212,107212,"     "," Fixed              "
"p s2 gmale4 c190 c61 a47 o107 t237",107402,0,107402,107402,"     "," Fixed              "
"p s2 gmale4 c191 c62 a46 o107 t237",107591,0,107591,107591,"     "," Fixed              "
"p s2 gmale4 c192 c63 a45 o107 t237",107779,0,107779,107779,"     "," Fixed              "
"p s2 gmale4 c193 c64 a44 o107 t237",107966,0,107966,107966,"     "," Fixed              "
"p s2 gmale4 c194 c65 a43 o107 t237",108152,0,108152,108152,"     "," Fixed              "
"p s2 gmale4 c195 c66 a42 o107 t237",108337,0,108337,108337,"     "," Fixed              "
"p s2 gmale4 c196 c67 a41 o107 t237",108521,0,108521,108521,"     "," Fixed              "
"p s2 gmale4 c197 c68 a40 o107 t237",108704,0,108704,108704,"     "," Fixed              "
"p s2 gmale4 c198 c69 a39 o107 t237",108886,0,108886,108886,"     "," Fixed              "
"p s2 gmale4 c199 c70 a38 o107 t237",109067,0,109067,109067,"     "," Fixed              "
"p s2 gmale4 c200 c71 a37 o107 t237",109247,0,109247,109247,"     "," Fixed              "
"p s2 gmale4 c201 c72 a36 o107 t237",109426,0,109426,109426,"     "," Fixed              "
"p s2 gmale4 c202 c73 a35 o107 t237",109604,0,109604,109604,"     "," Fixed              "
"p s2 gmale4 c203 c74 a34 o107 t237",109781,0,109781,109781,"     "," Fixed              "
"p s2 gmale4 c204 c75 a33 o107 t237",109957,0,109957,109957,"     "," Fixed              "
"p s2 gmale4 c205 c76 a32 o107 t237",110132,0,110132,110132,"     "," Fixed              "
"p s2 gmale4 c206 c77 a31 o107 t237",110306,0,110306,110306,"     "," Fixed              "
"p s2 gmale4 c207 c78 a30 o107 t237",110479,0,110479,110479,"     "," Fixed              "
"p s2 gmale4 c208 c79 a29 o107 t237",110651,0,110651,110651,"     "," Fixed              "
"p s2 gmale4 c209 c80 a28 o107 t237",110822,0,110822,110822,"     "," Fixed              "
"p s2 gmale4 c210 c81 a27 o107 t237",110992,0,110992,110992,"     "," Fixed              "
"p s2 gmale4 c211 c82 a26 o107 t237",111161,0,111161,111161,"     "," Fixed              "
"p s2 gmale4 c212 c83 a25 o107 t237",111329,0,111329,111329,"     "," Fixed              "
"p s2 gmale4 c213 c84 a24 o107 t237",111496,0,111496,111496,"     "," Fixed              "
"p s2 gmale4 c214 c85 a23 o107 t237",111662,0,111662,111662,"     "," Fixed              "
"p s2 gmale4 c215 c86 a22 o107 t237",111827,0,111827,111827,"     "," Fixed              "
"p s2 gmale4 c216 c87 a21 o107 t237",111991,0,111991,111991,"     "," Fixed              "
"p s2 gmale4 c217 c88 a20 o107 t237",112154,0,112154,112154,"     "," Fixed              "
"p s2 gmale4 c218 c89 a19 o107 t237",112316,0,112316,112316,"     "," Fixed              "
"p s2 gmale4 c219 c90 a18 o107 t237",112477,0,112477,112477,"     "," Fixed              "
"p s2 gmale4 c220 c91 a17 o107 t237",112637,0,112637,112637,"     "," Fixed              "
"p s2 gmale4 c221 c92 a16 o107 t237",112796,0,112796,112796,"     "," Fixed              "
"p s2 gmale4 c222 c93 a15 o107 t237",112954,0,112954,112954,"     "," Fixed              "
"p s2 gmale4 c223 c94 a14 o107 t237",113111,0,113111,113111,"     "," Fixed              "
"p s2 gmale4 c224 c95 a13 o107 t237",113267,0,113267,113267,"     "," Fixed              "
"p s2 gmale4 c225 c96 a12 o107 t237",113422,0,113422,113422,"     "," Fixed              "
"p s2 gmale4 c226 c97 a11 o107 t237",113576,0,113576,113576,"     "," Fixed              "
"p s2 gmale4 c227 c98 a10 o107 t237",113729,0,113729,113729,"     "," Fixed              "
"p s2 gmale4 c228 c99 a9 o107 t237",113881,0,113881,113881,"     "," Fixed              "
"p s2 gmale4 c229 c100 a8 o107 t237",114032,0,114032,114032,"     "," Fixed              "
"p s2 gmale4 c230 c101 a7 o107 t237",114182,0,114182,114182,"     "," Fixed              "
"p s2 gmale4 c231 c102 a6 o107 t237",114331,0,114331,114331,"     "," Fixed              "
"p s2 gmale4 c232 c103 a5 o107 t237",114479,0,114479,114479,"     "," Fixed              "
"p s2 gmale4 c233 c104 a4 o107 t237",114626,0,114626,114626,"     "," Fixed              "
"p s2 gmale4 c234 c105 a3 o107 t237",114772,0,114772,114772,"     "," Fixed              "
"p s2 gmale4 c235 c106 a2 o107 t237",114917,0,114917,114917,"     "," Fixed              "
"p s2 gmale4 c236 c107 a1 o107 t237",115061,0,115061,115061,"     "," Fixed              "
"p s1 gunidsex4 c130 c1 a107 o107 t237",125607,0,125607,125607,"     "," Fixed              "
"p s1 gunidsex4 c131 c2 a106 o107 t237",125856,0,125856,125856,"     "," Fixed              "
"p s1 gunidsex4 c132 c3 a105 o107 t237",126104,0,126104,126104,"     "," Fixed              "
"p s1 gunidsex4 c133 c4 a104 o107 t237",126351,0,126351,126351,"     "," Fixed              "
"p s1 gunidsex4 c134 c5 a103 o107 t237",126597,0,126597,126597,"     "," Fixed              "
"p s1 gunidsex4 c135 c6 a102 o107 t237",126842,0,126842,126842,"     "," Fixed              "
"p s1 gunidsex4 c136 c7 a101 o107 t237",127086,0,127086,127086,"     "," Fixed              "
"p s1 gunidsex4 c137 c8 a100 o107 t237",127329,0,127329,127329,"     "," Fixed              "
"p s1 gunidsex4 c138 c9 a99 o107 t237",127571,0,127571,127571,"     "," Fixed              "
"p s1 gunidsex4 c139 c10 a98 o107 t237",127812,0,127812,127812,"     "," Fixed              "
"p s1 gunidsex4 c140 c11 a97 o107 t237",128052,0,128052,128052,"     "," Fixed              "
"p s1 gunidsex4 c141 c12 a96 o107 t237",128291,0,128291,128291,"     "," Fixed              "
"p s1 gunidsex4 c142 c13 a95 o107 t237",128529,0,128529,128529,"     "," Fixed              "
"p s1 gunidsex4 c143 c14 a94 o107 t237",128766,0,128766,128766,"     "," Fixed              "
"p s1 gunidsex4 c144 c15 a93 o107 t237",129002,0,129002,129002,"     "," Fixed              "
"p s1 gunidsex4 c145 c16 a92 o107 t237",129237,0,129237,129237,"     "," Fixed              "
"p s1 gunidsex4 c146 c17 a91 o107 t237",129471,0,129471,129471,"     "," Fixed              "
"p s1 gunidsex4 c147 c18 a90 o107 t237",129704,0,129704,129704,"     "," Fixed              "
"p s1 gunidsex4 c148 c19 a89 o107 t237",129936,0,129936,129936,"     "," Fixed              "
"p s1 gunidsex4 c149 c20 a88 o107 t237",130167,0,130167,130167,"     "," Fixed              "
"p s1 gunidsex4 c150 c21 a87 o107 t237",130397,0,130397,130397,"     "," Fixed              "
"p s1 gunidsex4 c151 c22 a86 o107 t237",130626,0,130626,130626,"     "," Fixed              "
"p s1 gunidsex4 c152 c23 a85 o107 t237",130854,0,130854,130854,"     "," Fixed              "
"p s1 gunidsex4 c153 c24 a84 o107 t237",131081,0,131081,131081,"     "," Fixed              "
"p s1 gunidsex4 c154 c25 a83 o107 t237",131307,0,131307,131307,"     "," Fixed              "
"p s1 gunidsex4 c155 c26 a82 o107 t237",131532,0,131532,131532,"     "," Fixed              "
"p s1 gunidsex4 c156 c27 a81 o107 t237",131756,0,131756,131756,"     "," Fixed              "
"p s1 gunidsex4 c157 c28 a80 o107 t237",131979,0,131979,131979,"     "," Fixed              "
"p s1 gunidsex4 c158 c29 a79 o107 t237",132201,0,132201,132201,"     "," Fixed              "
"p s1 gunidsex4 c159 c30 a78 o107 t237",132422,0,132422,132422,"     "," Fixed              "
"p s1 gunidsex4 c160 c31 a77 o107 t237",132642,0,132642,132642,"     "," Fixed              "
"p s1 gunidsex4 c161 c32 a76 o107 t237",132861,0,132861,132861,"     "," Fixed              "
"p s1 gunidsex4 c162 c33 a75 o107 t237",133079,0,133079,133079,"     "," Fixed              "
"p s1 gunidsex4 c163 c34 a74 o107 t237",133296,0,133296,133296,"     "," Fixed              "
"p s1 gunidsex4 c164 c35 a73 o107 t237",133512,0,133512,133512,"     "," Fixed              "
"p s1 gunidsex4 c165 c36 a72 o107 t237",133727,0,133727,133727,"     "," Fixed              "
"p s1 gunidsex4 c166 c37 a71 o107 t237",133941,0,133941,133941,"     "," Fixed              "
"p s1 gunidsex4 c167 c38 a70 o107 t237",134154,0,134154,134154,"     "," Fixed              "
"p s1 gunidsex4 c168 c39 a69 o107 t237",134366,0,134366,134366,"     "," Fixed              "
"p s1 gunidsex4 c169 c40 a68 o107 t237",134577,0,134577,134577,"     "," Fixed              "
"p s1 gunidsex4 c170 c41 a67 o107 t237",134787,0,134787,134787,"     "," Fixed              "
"p s1 gunidsex4 c171 c42 a66 o107 t237",134996,0,134996,134996,"     "," Fixed              "
"p s1 gunidsex4 c172 c43 a65 o107 t237",135204,0,135204,135204,"     "," Fixed              "
"p s1 gunidsex4 c173 c44 a64 o107 t237",135411,0,135411,135411,"     "," Fixed              "
"p s1 gunidsex4 c174 c45 a63 o107 t237",135617,0,135617,135617,"     "," Fixed              "
"p s1 gunidsex4 c175 c46 a62 o107 t237",135822,0,135822,135822,"     "," Fixed              "
"p s1 gunidsex4 c176 c47 a61 o107 t237",136026,0,136026,136026,"     "," Fixed              "
"p s1 gunidsex4 c177 c48 a60 o107 t237",136229,0,136229,136229,"     "," Fixed              "
"p s1 gunidsex4 c178 c49 a59 o107 t237",136431,0,136431,136431,"     "," Fixed              "
"p s1 gunidsex4 c179 c50 a58 o107 t237",136632,0,136632,136632,"     "," Fixed              "
"p s1 gunidsex4 c180 c51 a57 o107 t237",136832,0,136832,136832,"     "," Fixed              "
"p s1 gunidsex4 c181 c52 a56 o107 t237",137031,0,137031,137031,"     "," Fixed              "
"p s1 gunidsex4 c182 c53 a55 o107 t237",137229,0,137229,137229,"     "," Fixed              "
"p s1 gunidsex4 c183 c54 a54 o107 t237",137426,0,137426,137426,"     "," Fixed              "
"p s1 gunidsex4 c184 c55 a53 o107 t237",137622,0,137622,137622,"     "," Fixed              "
"p s1 gunidsex4 c185 c56 a52 o107 t237",137817,0,137817,137817,"     "," Fixed              "
"p s1 gunidsex4 c186 c57 a51 o107 t237",138011,0,138011,138011,"     "," Fixed              "
"p s1 gunidsex4 c187 c58 a50 o107 t237",138204,0,138204,138204,"     "," Fixed              "
"p s1 gunidsex4 c188 c59 a49 o107 t237",138396,0,138396,138396,"     "," Fixed              "
"p s1 gunidsex4 c189 c60 a48 o107 t237",138587,0,138587,138587,"     "," Fixed              "
"p s1 gunidsex4 c190 c61 a47 o107 t237",138777,0,138777,138777,"     "," Fixed              "
"p s1 gunidsex4 c191 c62 a46 o107 t237",138966,0,138966,138966,"     "," Fixed              "
"p s1 gunidsex4 c192 c63 a45 o107 t237",139154,0,139154,139154,"     "," Fixed              "
"p s1 gunidsex4 c193 c64 a44 o107 t237",139341,0,139341,139341,"     "," Fixed              "
"p s1 gunidsex4 c194 c65 a43 o107 t237",139527,0,139527,139527,"     "," Fixed              "
"p s1 gunidsex4 c195 c66 a42 o107 t237",139712,0,139712,139712,"     "," Fixed              "
"p s1 gunidsex4 c196 c67 a41 o107 t237",139896,0,139896,139896,"     "," Fixed              "
"p s1 gunidsex4 c197 c68 a40 o107 t237",140079,0,140079,140079,"     "," Fixed              "
"p s1 gunidsex4 c198 c69 a39 o107 t237",140261,0,140261,140261,"     "," Fixed              "
"p s1 gunidsex4 c199 c70 a38 o107 t237",140442,0,140442,140442,"     "," Fixed              "
"p s1 gunidsex4 c200 c71 a37 o107 t237",140622,0,140622,140622,"     "," Fixed              "
"p s1 gunidsex4 c201 c72 a36 o107 t237",140801,0,140801,140801,"     "," Fixed              "
"p s1 gunidsex4 c202 c73 a35 o107 t237",140979,0,140979,140979,"     "," Fixed              "
"p s1 gunidsex4 c203 c74 a34 o107 t237",141156,0,141156,141156,"     "," Fixed              "
"p s1 gunidsex4 c204 c75 a33 o107 t237",141332,0,141332,141332,"     "," Fixed              "
"p s1 gunidsex4 c205 c76 a32 o107 t237",141507,0,141507,141507,"     "," Fixed              "
"p s1 gunidsex4 c206 c77 a31 o107 t237",141681,0,141681,141681,"     "," Fixed              "
"p s1 gunidsex4 c207 c78 a30 o107 t237",141854,0,141854,141854,"     "," Fixed              "
"p s1 gunidsex4 c208 c79 a29 o107 t237",142026,0,142026,142026,"     "," Fixed              "
"p s1 gunidsex4 c209 c80 a28 o107 t237",142197,0,142197,142197,"     "," Fixed              "
"p s1 gunidsex4 c210 c81 a27 o107 t237",142367,0,142367,142367,"     "," Fixed              "
"p s1 gunidsex4 c211 c82 a26 o107 t237",142536,0,142536,142536,"     "," Fixed              "
"p s1 gunidsex4 c212 c83 a25 o107 t237",142704,0,142704,142704,"     "," Fixed              "
"p s1 gunidsex4 c213 c84 a24 o107 t237",142871,0,142871,142871,"     "," Fixed              "
"p s1 gunidsex4 c214 c85 a23 o107 t237",143037,0,143037,143037,"     "," Fixed              "
"p s1 gunidsex4 c215 c86 a22 o107 t237",143202,0,143202,143202,"     "," Fixed              "
"p s1 gunidsex4 c216 c87 a21 o107 t237",143366,0,143366,143366,"     "," Fixed              "
"p s1 gunidsex4 c217 c88 a20 o107 t237",143529,0,143529,143529,"     "," Fixed              "
"p s1 gunidsex4 c218 c89 a19 o107 t237",143691,0,143691,143691,"     "," Fixed              "
"p s1 gunidsex4 c219 c90 a18 o107 t237",143852,0,143852,143852,"     "," Fixed              "
"p s1 gunidsex4 c220 c91 a17 o107 t237",144012,0,144012,144012,"     "," Fixed              "
"p s1 gunidsex4 c221 c92 a16 o107 t237",144171,0,144171,144171,"     "," Fixed              "
"p s1 gunidsex4 c222 c93 a15 o107 t237",144329,0,144329,144329,"     "," Fixed              "
"p s1 gunidsex4 c223 c94 a14 o107 t237",144486,0,144486,144486,"     "," Fixed              "
"p s1 gunidsex4 c224 c95 a13 o107 t237",144642,0,144642,144642,"     "," Fixed              "
"p s1 gunidsex4 c225 c96 a12 o107 t237",144797,0,144797,144797,"     "," Fixed              "
"p s1 gunidsex4 c226 c97 a11 o107 t237",144951,0,144951,144951,"     "," Fixed              "
"p s1 gunidsex4 c227 c98 a10 o107 t237",145104,0,145104,145104,"     "," Fixed              "
"p s1 gunidsex4 c228 c99 a9 o107 t237",145256,0,145256,145256,"     "," Fixed              "
"p s1 gunidsex4 c229 c100 a8 o107 t237",145407,0,145407,145407,"     "," Fixed              "
"p s1 gunidsex4 c230 c101 a7 o107 t237",145557,0,145557,145557,"     "," Fixed              "
"p s1 gunidsex4 c231 c102 a6 o107 t237",145706,0,145706,145706,"     "," Fixed              "
"p s1 gunidsex4 c232 c103 a5 o107 t237",145854,0,145854,145854,"     "," Fixed              "
"p s1 gunidsex4 c233 c104 a4 o107 t237",146001,0,146001,146001,"     "," Fixed              "
"p s1 gunidsex4 c234 c105 a3 o107 t237",146147,0,146147,146147,"     "," Fixed              "
"p s1 gunidsex4 c235 c106 a2 o107 t237",146292,0,146292,146292,"     "," Fixed              "
"p s1 gunidsex4 c236 c107 a1 o107 t237",146436,0,146436,146436,"     "," Fixed              "
"p s2 gunidsex4 c130 c1 a107 o107 t237",156982,0,156982,156982,"     "," Fixed              "
"p s2 gunidsex4 c131 c2 a106 o107 t237",157231,0,157231,157231,"     "," Fixed              "
"p s2 gunidsex4 c132 c3 a105 o107 t237",157479,0,157479,157479,"     "," Fixed              "
"p s2 gunidsex4 c133 c4 a104 o107 t237",157726,0,157726,157726,"     "," Fixed              "
"p s2 gunidsex4 c134 c5 a103 o107 t237",157972,0,157972,157972,"     "," Fixed              "
"p s2 gunidsex4 c135 c6 a102 o107 t237",158217,0,158217,158217,"     "," Fixed              "
"p s2 gunidsex4 c136 c7 a101 o107 t237",158461,0,158461,158461,"     "," Fixed              "
"p s2 gunidsex4 c137 c8 a100 o107 t237",158704,0,158704,158704,"     "," Fixed              "
"p s2 gunidsex4 c138 c9 a99 o107 t237",158946,0,158946,158946,"     "," Fixed              "
"p s2 gunidsex4 c139 c10 a98 o107 t237",159187,0,159187,159187,"     "," Fixed              "
"p s2 gunidsex4 c140 c11 a97 o107 t237",159427,0,159427,159427,"     "," Fixed              "
"p s2 gunidsex4 c141 c12 a96 o107 t237",159666,0,159666,159666,"     "," Fixed              "
"p s2 gunidsex4 c142 c13 a95 o107 t237",159904,0,159904,159904,"     "," Fixed              "
"p s2 gunidsex4 c143 c14 a94 o107 t237",160141,0,160141,160141,"     "," Fixed              "
"p s2 gunidsex4 c144 c15 a93 o107 t237",160377,0,160377,160377,"     "," Fixed              "
"p s2 gunidsex4 c145 c16 a92 o107 t237",160612,0,160612,160612,"     "," Fixed              "
"p s2 gunidsex4 c146 c17 a91 o107 t237",160846,0,160846,160846,"     "," Fixed              "
"p s2 gunidsex4 c147 c18 a90 o107 t237",161079,0,161079,161079,"     "," Fixed              "
"p s2 gunidsex4 c148 c19 a89 o107 t237",161311,0,161311,161311,"     "," Fixed              "
"p s2 gunidsex4 c149 c20 a88 o107 t237",161542,0,161542,161542,"     "," Fixed              "
"p s2 gunidsex4 c150 c21 a87 o107 t237",161772,0,161772,161772,"     "," Fixed              "
"p s2 gunidsex4 c151 c22 a86 o107 t237",162001,0,162001,162001,"     "," Fixed              "
"p s2 gunidsex4 c152 c23 a85 o107 t237",162229,0,162229,162229,"     "," Fixed              "
"p s2 gunidsex4 c153 c24 a84 o107 t237",162456,0,162456,162456,"     "," Fixed              "
"p s2 gunidsex4 c154 c25 a83 o107 t237",162682,0,162682,162682,"     "," Fixed              "
"p s2 gunidsex4 c155 c26 a82 o107 t237",162907,0,162907,162907,"     "," Fixed              "
"p s2 gunidsex4 c156 c27 a81 o107 t237",163131,0,163131,163131,"     "," Fixed              "
"p s2 gunidsex4 c157 c28 a80 o107 t237",163354,0,163354,163354,"     "," Fixed              "
"p s2 gunidsex4 c158 c29 a79 o107 t237",163576,0,163576,163576,"     "," Fixed              "
"p s2 gunidsex4 c159 c30 a78 o107 t237",163797,0,163797,163797,"     "," Fixed              "
"p s2 gunidsex4 c160 c31 a77 o107 t237",164017,0,164017,164017,"     "," Fixed              "
"p s2 gunidsex4 c161 c32 a76 o107 t237",164236,0,164236,164236,"     "," Fixed              "
"p s2 gunidsex4 c162 c33 a75 o107 t237",164454,0,164454,164454,"     "," Fixed              "
"p s2 gunidsex4 c163 c34 a74 o107 t237",164671,0,164671,164671,"     "," Fixed              "
"p s2 gunidsex4 c164 c35 a73 o107 t237",164887,0,164887,164887,"     "," Fixed              "
"p s2 gunidsex4 c165 c36 a72 o107 t237",165102,0,165102,165102,"     "," Fixed              "
"p s2 gunidsex4 c166 c37 a71 o107 t237",165316,0,165316,165316,"     "," Fixed              "
"p s2 gunidsex4 c167 c38 a70 o107 t237",165529,0,165529,165529,"     "," Fixed              "
"p s2 gunidsex4 c168 c39 a69 o107 t237",165741,0,165741,165741,"     "," Fixed              "
"p s2 gunidsex4 c169 c40 a68 o107 t237",165952,0,165952,165952,"     "," Fixed              "
"p s2 gunidsex4 c170 c41 a67 o107 t237",166162,0,166162,166162,"     "," Fixed              "
"p s2 gunidsex4 c171 c42 a66 o107 t237",166371,0,166371,166371,"     "," Fixed              "
"p s2 gunidsex4 c172 c43 a65 o107 t237",166579,0,166579,166579,"     "," Fixed              "
